DATE,Department,DEN,Block Section/ Yard,CORRIDOR block section,corridor block period,UP/ DN Line,Block demanded in Hrs(Day or Night),Demanded time (From),Demanded time (To),Block demanded in(MINS),Permitted time (From) No need to fill,Permitted time (To) No need to fill,BLOCK PERMITTED MINS,Location - FROM,Location - TO,Nautre of work & Quantum of Output Planned,Need for disconnection (If Yes Track Circuit and Signals Affected) Please give specific details without fail,Caution required,Caution required (if yes with relaxation date dd:mm:yyyy),Power Block & its Elementary Section. Please give specific details without fail,"Resources needed (M/C, Manpower, Supervisors) Include Crane,JCB,porcelain or any other equipment also",Whether site preparation & resources ready,Supervisors to be deputed (JE/SSE with section),Coaching repercussions/ Movement Repercussions,"Actual Block Granted From
  No need to fill","Actual Block Granted To
  No need to fill","Actual block duration MINS
  No need to fill","Over all % granted for the day
  No need to fill","Output as per Manual
  No need to fill","Actual Output
 ","% Output vs Planned
  No need to fill","% Output
 vs
 Planned",PROGRESS,,,,LOCATION,SECTION,ARB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,MPK-MSB,MSB-VM,,UP/SUB,,00:00,03:00,180,01:00,04:00,180,,,MPT 2004,,,,,,,,,00:55,03:55,180,,,1200 SLP,,,,,,,01/950-550,MS,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,,,,,,,,,0,,,0,,,MFI 56916,,,,,,,,,,,0,,,BLOCK AVAILED AT AVD YD (00:40-02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,TVT-ENR,MAS-GDR,,DN/F,,00:40,02:40,120,00:40,02:40,120,,,MFI 56924,,,,,,,,,00:40,02:35,115,,,850 SLP,,,,,,,10/300-09/000,TVT,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,TVT YD,MAS-GDR,,DN/F,,23:55,01:55,120,23:55,01:55,120,,,MFI 56924,,,,,,,,,23:55,01:30,95,,,1 UNIT+200 SLP,,,,,,,PT NO 107A,TVT,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,AB YD,KPD-JTJ,,DN,,11:00,13:00,120,14:10,16:10,120,,,MFI 57110,,,,,,,,,14:10,16:10,120,,,1 UNIT+200 SLP,,,,,,,PT NO 52B,AB,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,,,,,,,,,0,,,0,,,T 28 9305,,,,,,,,,,,0,,,BLOCK PLANNED TONIGHT AT OV-KGZ DN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,,,,,,,,,0,,,0,,,TRT 784,,,,,,,,,,,0,,,BLOCK PLANED TONIGHT AT AB YD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,TUG YD,TRL-KPD,,UP,,23:40,01:40,120,23:40,01:40,120,,,UNIMAT 8403,,,,,,,,,23:40,01:40,120,,,1 UNIT+600 SLP,,,,,,,PT NO 65B,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,CENTRAL,RPM YD,MAS-TRL,,RD-7,,01:05,02:35,90,01:05,02:35,90,,,UTV 024,,,,,,,,,01:05,02:35,90,,,28 RLS LDD,,,,,,,,WST-B,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,CENTRAL,RPM YD,MAS-TRL,,TCS LINE,,23:35,00:10,35,23:35,00:10,35,,,UTV 024,,,,,,,,,23:35,00:10,35,,,LDD PF SWITCH / SOTKC RAILS SET -04 NOS,,,,,,,,WST-B,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,CGL YD,MSB-VM,,UP,,23:45,00:45,60,23:45,00:45,60,,,UTV 047,,,,,,,,,23:45,00:45,60,,,"MACHINE FAILED, & REPAIRED AND GAIN AVAILED SECOND BLOCK",,,,,,,,CGL,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,CGL-SKL,MSB-VM,,3RD LINE,,00:40,03:30,170,00:40,03:30,170,,,UTV 047,,,,,,,,,00:40,03:30,170,,,35 RLS+41 RLS UN/L,,,,,,,,CGL,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,TNP-TVT,MAS-GDR,,UP/F,,00:15,01:45,90,00:15,01:45,90,,,UTV 066,,,,,,,,,00:15,01:45,90,,,"33*2=66 NOS OF SLP LDD,33*2=66 NOS SLP UN/L",,,,,,,7/100-6/900,TVT,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,KOK-TNP,MAS-GDR,,DN/GOODS,,02:15,02:40,25,02:15,02:40,25,,,UTV 066,,,,,,,,,02:15,02:40,25,,,16 SLP UN/L,,,,,,,KOK/1012-1014,TVT,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,AB YD,KPD-JTJ,,SIDING,,09:00,12:30,210,09:00,12:30,210,,,UTV 164,,,,,,,,,09:00,12:30,210,,,"LDD OF SLP-52*2=104 NOS, SHIFTING OF SLP=40 NOS",,,,,,,,AB,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,AB YD,KPD-JTJ,,RD-4,,14:40,16:10,90,14:40,16:10,90,,,UTV 164,,,,,,,,,14:40,16:10,90,,,UN/L OF PT SLP=52*2=104 NOS,,,,,,,,AB,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,PEI-MTL,MSB-VM,,UP,,21:00,00:07,187,21:00,00:07,187,,,DUO 8052,,,,,,,,,21:00,00:07,187,,,3200 SLP,,,,,,,136/500-135/400,TMV,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,SOUTH,PV-TBM,MSB-VM,,DN SUB,,02:30,04:30,120,01:00,02:30,90,,,DUO 8078,,,,,,,,,02:15,03:45,90,,,1700 SLP,,,,,,,26/600-27/500,TBM,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,MDVE-SHU,TRL-KPD,,DN,,10:00,12:00,120,09:30,11:00,90,,,DUO 8113,,,,,,,,,10:15,11:50,95,,,2050 SLP,,,,,,,88/600-89/300,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,ENR YD,MAS-GDR,,UP SLOW,,23:00,03:00,240,23:30,02:00,150,,,WW,,,,,,,,,01:15,02:45,90,,,9.25 RR/2 WELD JTS,,,,,,,14/01C-13/35,ENR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,CENTRAL,TRL-TI/TI YD,MAS-TRL,,UP/F,,01:00,02:50,110,01:00,02:50,110,,,BALLAST UN/L,,,,,,,,,01:00,02:50,110,,,11 BOBYN UN/L,,,,,,,"33/000-31/300,29/200-28/500",AVD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,AKM YD,MAS-GDR,,RD-4,,22:00,01:00,180,22:15,01:15,180,,,TSR,,,,,,,,,00:35,02:05,90,,,200 NOS OF PSC SLP TRUCKED OUT,,,,,,,,SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,NG-VGA,AJJ-RU,,DN,,12:00,14:00,120,12:05,14:05,120,,,CUTTING WIDENING WORK,,,,,,,,,13:15,14:00,45,,,15 TRUCKS OF HARD ROCK SOIL LDD/UN/L COMTROLLED COMPRESSOR BLASTING HAS BEEN CARRIED OUT,,,,,,,,TRT,ROLLING BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,PCKM-AB,KPD-JTJ,,UP,,20:30,23:30,180,22:30,00:30,120,,,MFBW,,,,,,,,,22:35,00:35,120,,,NO OF BOBYN UNLOADED-6+8=14 NOS CUT RR-6.10MTS+6.30 MTS,,,,,,,"178/03-11 , 178/13-15",AB,ROLLING BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,WEST,TUG YD,TRL-KPD,,UP,,22:00,00:30,150,23:10,01:10,120,,,GJ RNEWAL & WW,,,,,,,,,23:40,01:40,120,,,"GJ RENEWAL-6.50 MTS (LH), WELDING-02 NOS (LH)",,,,,,,93/11-09,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,AKM YD,MAS-GDR,,UP,,22:00,01:00,180,22:15,01:15,180,,,SLP TRUCKIN G OUT,,,,,,,,,22:45,00:40,115,,,SLP TRCUKED OUT-176 NOS,,,,,,,,SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2024,ENGG,EAST,AKM YD,MAS-GDR,,RD-4 & RD-5,,22:00,01:00,180,22:15,01:15,180,,,EXCESS BALLST CLEARING,,,,,,,,,22:45,00:40,115,,,EXCESS BALLAST CLEARED FOR 100 MTS,,,,,,,,SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date on which block is required (If the block is required from 00:00hrs to 23:59hrs today it should be demanded for current date & if the block is required after 00:00hrs tonight the block demanded date should be tomorrow's date),Department,DEN,Block Section/ Yard,CORRIDOR block section,corridor block period,UP/ DN Line,Block demanded in Hrs(Day or Night),Demanded time (From),Demanded time (To),#VALUE!,Permitted time (From) No need to fill,Permitted time (To) No need to fill,BLOCK PERMITTED MINS,Location - FROM,Location - TO,Nautre of work & Quantum of Output Planned,Need for disconnection (If Yes Track Circuit and Signals Affected) Please give specific details without fail,Caution required,Caution required (if yes with relaxation date dd:mm:yyyy),Power Block & its Elementary Section. Please give specific details without fail,"Resources needed (M/C, Manpower, Supervisors) Include Crane,JCB,porcelain or any other equipment also",Whether site preparation & resources ready,Supervisors to be deputed (JE/SSE with section),Coaching repercussions/ Movement Repercussions,"Actual Block Granted From
  No need to fill","Actual Block Granted To
  No need to fill","Actual block duration MINS
  No need to fill","Over all % granted for the day
  No need to fill","Output as per Manual
  No need to fill","Actual Output
 ","% Output vs Planned
  No need to fill","% Output
 vs
 Planned",PROGRESS,,,,LOCATION,SECTION,ARB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,CENTRAL,WST-BBQ,MAS-TRL,,UP,,01:25,02:35,70,01:25,02:35,70,,,UTV 24,,,,,,,,,01:25,02:35,70,,,28 RAILS LOAD,,,,,,,,WST-A,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,SOUTH,CGL YD,MSB-VM,,3 Rd,,02:55,03:40,45,02:55,03:40,45,,,UTV 47,,,,,,,,,02:55,03:40,45,,,20 RAILS LOAD,,,,,,,,CGL,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,SOUTH,VDR YD,MSB-VM,,UP,,00:15,03:35,200,00:15,03:35,200,,,DUO 8078,,,,,,,,,00:15,03:00,165,,,2250 SLEEPERS,,,,,,,34/250-950,TBM,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,SOUTH,VDR-GI,MSB-VM,,DN,,03:05,04:35,90,03:05,04:35,90,,,DUO 8078,,,,,,,,,03:05,04:35,90,,,1800 SLEEPERS,,,,,,,37/150-750,TBM,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,SOUTH,PV YD,MSB-VM,,A,,03:15,04:45,90,03:15,04:45,90,,,MPT 2004,,,,,,,,,03:15,04:45,90,,,0.7 UNIT + 300 SLEEPERS,,,,,,,PT:102B,TBM,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,CENTRAL,AVD YD,MAS-TRL,,UP/S&DN/S,,00:40,02:30,110,00:40,02:30,110,,,MFI 56916,,,,,,,,,00:40,02:30,110,,,1 UNIT + 450 SLEEPERS,,,,,,,PT:125B,AVD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,CENTRAL,AVD YD,MAS-TRL,,Rd1,,02:30,03:35,65,02:30,03:35,65,,,MFI 56916,,,,,,,,,02:30,03:35,65,,,0.3 UNIT + 300 SLEEPERS,,,,,,,PT:124A,AVD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,EAST,SPE-TADA,MAS-GDR,,DN,,01:30,05:20,230,01:30,05:20,230,,,DTE 56743,,,,,,,,,01:30,05:20,230,,,3840 SLEEPERS,,,,,,,"80/050-79/00
 78/650-77/600",SPE,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,WEST,MCN-THL,TRL-KPD,,DN,,12:35,14:00,85,12:35,14:00,85,,,FRM 57152,,,,,,,,,12:35,14:00,85,,,400 M,,,,,,,115/100-500,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,WEST,MDVE-SHU,TRL-KPD,,DN,,12:00,13:40,100,12:00,13:40,100,,,DUO 8113,,,,,,,,,12:00,13:40,100,,,2360 SLEEPERS,,,,,,,86/900-87/700,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,WEST,MDVE-SHU,TRL-KPD,,DN,,12:00,13:40,100,12:00,13:40,100,,,DGS 350,,,,,,,,,12:00,13:40,100,,,700 M,,,,,,,86/900-87/700,WJR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,WEST,GYM YD,KPD-JTJ,,DN,,13:25,14:55,90,13:25,14:55,90,,,MFI 567110,,,,,,,,,13:25,14:55,90,,,0.7 UNIT + 300 SLEEPERS,,,,,,,PT:63B,AB,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2024,ENGG,WEST,AB YD,KPD-JTJ,,YD,,09:00,11:00,120,09:00,11:00,120,,,UTV 164,,,,,,,,,09:00,11:00,120,,,38 RAILS LOAD,,,,,,,,AB,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
